_RAJ2000	_DEJ2000	_V	TYC1	TYC2	TYC3	RAJ2000	DEJ2000	VTmag	BTmag	r_SpType	Dist	Teff	SpType	recno
--------------	--------------	----------	----	-----	-	------------	------------	------	------	----------	------	-----	----------	--------
206.0690870700	-09.7332261100	VizieR	5546	775	1	206.06908707	-09.73322611	9.468	9.984	mc5	0.271	6440	F5 V	196991
206.4062259600	-09.5949596300	VizieR	5546	843	1	206.40622596	-09.59495963	8.622	8.999	mc5	0.408	7200	F0 V	196993
206.8058523000	-09.7094489300	VizieR	5546	951	1	206.80585230	-09.70944893	6.214	7.914	mc5	0.365	4200	K3 III	196996
206.1554716100	-09.3352993500	VizieR	5546	1163	1	206.15547161	-09.33529935	9.361	9.930	mc5	0.802	6440	F6/8 V	197005
205.9575339200	-09.8630157200	VizieR	5546	1498	1	205.95753392	-09.86301572	9.940	10.475	mc5	0.529	5860	G3 V	197012
205.7431119300	-12.4904481200	VizieR	5549	97	1	205.74311193	-12.49044812	9.257	10.160	mc5	0.592	5770	G5 V	197089
206.4048125200	-12.3841249400	VizieR	5549	111	1	206.40481252	-12.38412494	8.114	9.561	mc5	0.318	4750	K0 IIICNII	197091
205.7903589100	-10.5934183400	VizieR	5549	305	1	205.79035891	-10.59341834	9.883	11.545	ppS	0.088	3950	K5	197096
206.7297451700	-11.4118591500	VizieR	5549	368	1	206.72974517	-11.41185915	9.849	10.520	mc5	0.409	5770	G5 V	197099
206.1899831200	-10.8020296700	VizieR	5549	371	1	206.18998312	-10.80202967	10.103	10.510	mc5	0.097	8150	A7 Ib/II	197100
206.7662771600	-11.1364864400	VizieR	5549	652	1	206.76627716	-11.13648644	10.256	10.844	mc5	0.699	5770	G5 V	197104
206.0820178300	-11.1724155300	VizieR	5549	720	1	206.08201783	-11.17241553	9.303	10.463	mc5	0.273	4900	G8 IV	197106
205.7403912900	-11.3022174100	VizieR	5549	768	1	205.74039129	-11.30221741	8.145	8.340	mc5	0.438	9480	A1 IV	197107
205.6486462800	-12.0869341200	VizieR	5549	770	1	205.64864628	-12.08693412	7.496	7.971	mc5	0.761	6870	F3/5 IV/V	197108
206.3325886100	-10.5243978000	VizieR	5549	806	1	206.33258861	-10.52439780	8.714	9.353	mc5	1.292	5570	G8 V	197110
206.4680831500	-11.2210615800	VizieR	5549	935	1	206.46808315	-11.22106158	7.734	8.271	mc5	0.977	6440	F5 V	197112
206.1125124500	-10.1539861700	VizieR	5549	1047	1	206.11251245	-10.15398617	9.143	9.668	mc5	0.060	6440	F7 V	197113
205.6512914700	-10.4181285300	VizieR	5549	1056	1	205.65129147	-10.41812853	9.929	10.546	mc5	0.094	6890	F3 V	197114
206.5202457900	-10.3560853700	VizieR	5549	1126	1	206.52024579	-10.35608537	9.787	10.693	mc5	0.690	5570	G8 V	197116
206.3987469900	-11.4832579400	VizieR	5549	1127	1	206.39874699	-11.48325794	9.963	11.329	mc5	0.096	4900	G8/K0 (III)	197117
206.0648254400	-11.4367995100	VizieR	5549	1155	1	206.06482544	-11.43679951	7.890	9.432	mc5	0.199	4200	K3 IIICNIb	197119
206.4095861200	-11.8465364500	VizieR	5549	1197	1	206.40958612	-11.84653645	10.463	11.031	mc5	0.304	6890	F2 V	197121
205.9403608400	-11.9091511100	VizieR	5549	1228	1	205.94036084	-11.90915111	8.753	9.705	mc5	0.171	4750	K0 III + (F)	197122
206.2907889600	-11.8394066300	VizieR	5549	1243	1	206.29078896	-11.83940663	9.785	10.191	mc5	0.929	6870	F3 IV/V	197123
206.4846395000	-12.4265205900	VizieR	5549	1342	1	206.48463950	-12.42652059	5.661	6.737	mc5	0.171	4900	G8 III	197126
206.3441549300	-10.5306435100	VizieR	5549	1344	1	206.34415493	-10.53064351	8.805	9.679	mc5	0.066	6030	G0 V	197127
206.0741718800	-12.9467830500	VizieR	5552	892	1	206.07417188	-12.94678305	9.256	9.701	mc4	0.187	6890	F3 V	197227
206.0522948500	-12.8273837000	VizieR	5552	917	1	206.05229485	-12.82738370	8.573	10.317	mc4	0.090	4420	K2/3 III	197229
206.4599396000	-12.9646262900	VizieR	5552	1027	1	206.45993960	-12.96462629	8.285	9.716	mc4	0.258	4420	K2 III	197230
206.2715953200	-12.6689918400	VizieR	5552	1085	1	206.27159532	-12.66899184	9.983	10.727	mc4	0.141	6030	G0 V	197232
206.4163890000	-12.9972843600	VizieR	5552	1110	1	206.41638900	-12.99728436	10.289	10.549	mc4	0.038	9000	A2 II/III	197233
206.7689853700	-13.1122904800	VizieR	5552	1119	1	206.76898537	-13.11229048	9.156	11.020	mc4	0.189	3620	M2/3 III	197234
207.4972041400	-09.1103972300	VizieR	5553	630	1	207.49720414	-09.11039723	10.010	10.529	mc5	0.250	6030	G0 V	197256
207.0288473400	-09.9426312200	VizieR	5553	639	1	207.02884734	-09.94263122	9.769	10.495	mc5	0.291	5860	G2 V	197257
208.4800025600	-09.4984234500	VizieR	5553	906	1	208.48000256	-09.49842345	9.694	10.837	mc5	0.125	5570	G8 V	197258
208.4750602500	-08.8416094800	VizieR	5553	1020	1	208.47506025	-08.84160948	9.634	10.240	mc5	0.632	6030	G0 V	197259
207.2024840900	-09.5606169600	VizieR	5553	1039	1	207.20248409	-09.56061696	9.442	9.745	mc5	0.131	6890	F2 V	197260
207.4033443300	-09.1989056200	VizieR	5553	1047	1	207.40334433	-09.19890562	9.272	11.109	mc5	0.231	3620	M2/3 III	197261
206.9949698200	-08.7896428400	VizieR	5553	1109	1	206.99496982	-08.78964284	9.133	10.298	mc5	0.010	5570	G8 V	197262
