_RAJ2000	_DEJ2000	_V	TYC1	TYC2	TYC3	RAJ2000	DEJ2000	VTmag	BTmag	r_SpType	Dist	Teff	SpType	recno
--------------	--------------	----------	----	-----	-	------------	------------	------	------	----------	------	-----	----------	--------
313.1985407100	+42.9315564800	VizieR	3175	37	1	313.19854071	+42.93155648	9.186	9.752	ppN	0.314	6200	F8	114810
314.8879706600	+43.0643037800	VizieR	3175	71	1	314.88797066	+43.06430378	8.067	8.156	ppN	0.020	11900	B8	114811
314.2000846400	+42.8956629500	VizieR	3175	75	1	314.20008464	+42.89566295	7.308	8.431	j64	2.604	4750	K0III-IV	114812
313.4640172700	+42.3831309700	VizieR	3175	84	1	313.46401727	+42.38313097	10.860	11.424	ppN	0.092	6440	F5	114813
313.8765003600	+42.9896894400	VizieR	3175	105	1	313.87650036	+42.98968944	9.802	9.876	ppN	0.022	8970	A2	114814
314.7979478100	+42.9237934900	VizieR	3175	109	1	314.79794781	+42.92379349	10.653	11.103	ppN	0.044	9520	A0	114815
314.0782904500	+42.7687223500	VizieR	3175	121	1	314.07829045	+42.76872235	6.803	8.117	k83	0.340	4600	K 1 IV	114816
314.7394848900	+42.3779040300	VizieR	3175	134	1	314.73948489	+42.37790403	9.161	11.055	ppN	0.211	3950	K5	114817
313.8248200000	+42.5134878600	VizieR	3175	170	1	313.82482000	+42.51348786	7.120	7.006	ppN	0.055	10500	B9	114818
314.6289691800	+41.9399279300	VizieR	3175	186	1	314.62896918	+41.93992793	6.143	6.059	k83	0.100	11900	B 8 V	114819
313.2216861800	+42.6077396500	VizieR	3175	208	1	313.22168618	+42.60773965	8.499	9.052	k83	0.023	30000	B 0 V	114820
314.2889127400	+42.1285554200	VizieR	3175	210	1	314.28891274	+42.12855542	9.259	9.873	ppN	0.197	6030	G0	114821
314.7081243200	+42.4818285200	VizieR	3175	226	1	314.70812432	+42.48182852	10.181	11.432	ppN	0.164	4750	K0	114822
314.2161721000	+42.9293254600	VizieR	3175	251	1	314.21617210	+42.92932546	9.134	9.258	ppN	0.120	8970	A2	114824
314.0562992500	+42.1975227500	VizieR	3175	274	1	314.05629925	+42.19752275	9.055	10.623	ppN	0.066	4420	K2	114825
313.8307320700	+42.7255070600	VizieR	3175	287	1	313.83073207	+42.72550706	8.814	9.170	ppN	0.021	8970	A2	114826
313.4134495000	+42.7014922200	VizieR	3175	293	1	313.41344950	+42.70149222	8.720	8.720	ppN	0.094	11900	B8	114827
314.8047786200	+42.9463760900	VizieR	3175	369	1	314.80477862	+42.94637609	11.136	11.424	ppN	0.094	8970	A2	114828
313.2079548000	+43.1081234200	VizieR	3175	481	1	313.20795480	+43.10812342	8.341	10.293	ppN	0.160	3950	K5	114831
313.3078748300	+42.3630795000	VizieR	3175	504	1	313.30787483	+42.36307950	8.940	9.248	k83	0.192	8200	A M	114832
313.5764514700	+42.6429973300	VizieR	3175	527	1	313.57645147	+42.64299733	9.476	11.348	ppN	0.078	3450	M2	114834
313.0974195800	+42.4802446600	VizieR	3175	552	1	313.09741958	+42.48024466	8.558	9.823	ppN	0.174	4750	K0	114836
314.8525779500	+42.3244700900	VizieR	3175	615	1	314.85257795	+42.32447009	6.451	6.359	ppN	0.146	10500	B9	114838
314.3701865600	+42.4447890500	VizieR	3175	698	1	314.37018656	+42.44478905	7.442	9.101	k83	0.406	4420	K 2 III	114841
314.6814795200	+41.6496109200	VizieR	3175	742	1	314.68147952	+41.64961092	8.540	9.941	ppN	0.023	6890	F2	114842
313.8680387800	+42.2401985000	VizieR	3175	785	1	313.86803878	+42.24019850	9.480	9.749	ppN	0.108	8200	A5	114843
